2020 Inyo Presidential Primary,5.10.11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - DEM (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - REP (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - AI (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - GRN (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - LIB (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),President of the US - PF (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),U.S. Representative 8th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Member of the State Assembly 26th District (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),Superior Court Judge #1 (Vote For=1),"County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 2nd District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 4th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)","County Supervisor, 5th District (Vote For=1)",State Proposition 13 (Vote For=1),State Proposition 13 (Vote For=1),Measure M- School Bond Measure (Vote For=1),Measure M- School Bond Measure (Vote For=1) 
3763,1,3,116,1-3-116,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,1,0,,
3764,1,3,117,1-3-117,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3765,1,3,118,1-3-118,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,0,1,,
3766,1,3,119,1-3-119,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,1,0,0,,,1,0,,
3767,1,3,120,1-3-120,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,0,1,,
3768,1,3,121,1-3-121,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3769,1,3,122,1-3-122,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,0,1,0,0,,,1,0,,
3770,1,3,123,1-3-123,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,1,0,0,,,0,1,,
3771,1,3,124,1-3-124,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,1,0,,
3772,1,3,125,1-3-125,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,1,0,0,0,,,0,1,,
3773,1,3,126,1-3-126,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,1,0,0,0,,,0,1,,
3774,1,3,127,1-3-127,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,1,0,0,0,,,0,1,,
3775,1,3,128,1-3-128,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,1,0,,
3776,1,3,129,1-3-129,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,1,0,,
3777,1,3,130,1-3-130,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3778,1,3,131,1-3-131,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3779,1,3,132,1-3-132,Election Day,113 (113),4 (4),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,0,1,,
3780,1,3,133,1-3-133,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,1,0,,
3781,1,3,134,1-3-134,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3782,1,3,135,1-3-135,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,0,1,0,,,1,0,,
3783,1,3,136,1-3-136,Election Day,113 (113),4 (4),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,1,0,0,0,,,1,0,,
3784,1,3,3,1-3-3,Election Day,113 (113),4 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,0,0,1,0,,,0,1,,
3785,1,3,37,1-3-37,Election Day,113 (113),4 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,0,0,1,0,,,1,0,,
3786,1,4,1,1-4-1,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
3787,1,4,2,1-4-2,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3788,1,4,3,1-4-3,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3789,1,4,4,1-4-4,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3790,1,4,5,1-4-5,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3791,1,4,6,1-4-6,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3792,1,4,7,1-4-7,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,0,1,,
3793,1,4,8,1-4-8,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3794,1,4,9,1-4-9,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,0,,
3795,1,4,10,1-4-10,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3796,1,4,11,1-4-11,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,0,1,,
3797,1,4,12,1-4-12,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3798,1,4,13,1-4-13,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,0,,
3799,1,4,14,1-4-14,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3800,1,4,15,1-4-15,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,0,1,,
3801,1,4,16,1-4-16,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,0,,
3802,1,4,17,1-4-17,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3803,1,4,18,1-4-18,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,0,,
3804,1,4,19,1-4-19,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3805,1,4,20,1-4-20,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3806,1,4,21,1-4-21,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3807,1,4,22,1-4-22,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3808,1,4,23,1-4-23,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,0,,
3809,1,4,24,1-4-24,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3810,1,4,25,1-4-25,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3811,1,4,26,1-4-26,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3812,1,4,27,1-4-27,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3813,1,4,28,1-4-28,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3814,1,4,29,1-4-29,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3815,1,4,30,1-4-30,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3816,1,4,31,1-4-31,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3817,1,4,32,1-4-32,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3818,1,4,33,1-4-33,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3819,1,4,34,1-4-34,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3820,1,4,35,1-4-35,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,0,,
3821,1,4,36,1-4-36,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3822,1,4,37,1-4-37,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3823,1,4,38,1-4-38,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3824,1,4,39,1-4-39,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3825,1,4,40,1-4-40,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
3826,1,4,41,1-4-41,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,0,1,,
3827,1,4,43,1-4-43,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,1,0,,
3828,1,4,44,1-4-44,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3829,1,4,45,1-4-45,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3830,1,4,46,1-4-46,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,0,1,,
3831,1,4,47,1-4-47,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3832,1,4,48,1-4-48,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,1,,
3833,1,4,49,1-4-49,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,0,1,,
3834,1,4,50,1-4-50,Election Day,103 (103),1 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,0,0,,
